URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://racsel.org/TIC-TSTF/ValueSet/Paises,0.2.1,draft,,Paises,TICTF Paises,"Paises de la ISO 3166",,"hl7.terminology.r4"
http://racsel.org/TIC-TSTF/ValueSet/TipoRespuestaVS,0.2.1,draft,,TipoRespuestaVS,TICTF Tipo de respuesta,"CodeSystem de Códigos tipo de respuesta TSTF","StructureDefinition/tictf-subtask,StructureDefinition/tictf-maintask","Internal"
http://terminology.hl7.org/ValueSet/v3-Country2,3.0.0,active,"2.16.840.1.113883.1.11.20300",Country2,Country2,"Countries of the world. ISO 3166, part 1, alpha-2 set.","StructureDefinition/PROOrganizationTICTF","hl7.terminology.r4"
