URL,Version,Status,OIDs,Name,Title,Description,Used
http://racsel.org/TIC-TSTF/CodeSystem/TipoOutputTaskCS,0.2.1,draft,,TipoOutputTaskCS,TICTF Tipo de respuesta,"Set de valores para Tipo Output Task","ValueSet/TipoRespuestaVS"
urn:iso:std:iso:3166,1.0.1,active,"1.0.3166.1",ISO3166Part1,ISO 3166-1 Codes for the representation of names of countries and their subdivisions — Part 1: Country code,"ISO 3166-1 establishes codes that represent the current names of countries, dependencies, and other areas of particular geopolitical interest, on the basis of country names obtained from the United Nations.","ValueSet/v3-Country2,ValueSet/Paises"
